id_EXIST,lang,split,annotator_index,annotator_gender,annotator_age,task1_label,task2_label,task3_labels
100001,es,TRAIN_ES,0,F,18-22,YES,REPORTED,['OBJECTIFICATION']
100001,es,TRAIN_ES,1,F,23-45,YES,JUDGEMENTAL,"['OBJECTIFICATION', 'SEXUAL-VIOLENCE']"
100001,es,TRAIN_ES,2,F,46+,NO,-,['-']
100001,es,TRAIN_ES,3,M,46+,YES,REPORTED,['STEREOTYPING-DOMINANCE']
100001,es,TRAIN_ES,4,M,23-45,YES,JUDGEMENTAL,['SEXUAL-VIOLENCE']
100001,es,TRAIN_ES,5,M,18-22,YES,REPORTED,"['IDEOLOGICAL-INEQUALITY', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100002,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100002,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100002,es,TRAIN_ES,2,F,46+,NO,-,['-']
100002,es,TRAIN_ES,3,M,46+,NO,-,['-']
100002,es,TRAIN_ES,4,M,23-45,YES,DIRECT,['OBJECTIFICATION']
100002,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100003,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100003,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100003,es,TRAIN_ES,2,F,46+,NO,-,['-']
100003,es,TRAIN_ES,3,M,46+,NO,-,['-']
100003,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100003,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100004,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100004,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100004,es,TRAIN_ES,2,F,46+,YES,DIRECT,['IDEOLOGICAL-INEQUALITY']
100004,es,TRAIN_ES,3,M,46+,NO,-,['-']
100004,es,TRAIN_ES,4,M,23-45,YES,REPORTED,['IDEOLOGICAL-INEQUALITY']
100004,es,TRAIN_ES,5,M,18-22,YES,REPORTED,"['IDEOLOGICAL-INEQUALITY', 'OBJECTIFICATION', 'SEXUAL-VIOLENCE']"
100005,es,TRAIN_ES,0,F,18-22,YES,REPORTED,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION']"
